TCode,ID,Name_G,Name_E,DCode,MDDS_Code,IsVerified
1,47,Puraula,Puraula,1,278,TRUE
2,48,Mori,Mori,1,279,TRUE
3,46,Rajgarhi,Rajgarhi,1,280,TRUE
4,45,Dunda,Dunda,1,281,TRUE
5,44,Chinyali saur*,Chinyali saur*,1,282,TRUE
6,43,Bhatwari,Bhatwari,1,283,TRUE
7,42,Joshimath ,Joshimath ,2,284,TRUE
8,41,Chamoli,Chamoli,2,285,TRUE
9,40,Pokhari ,Pokhari ,2,286,TRUE
10,39,Karnaprayag,Karnaprayag,2,287,TRUE
11,38,Tharali  ,Tharali  ,2,288,TRUE
12,37,Gairsain,Gairsain,2,289,TRUE
13,36,Ukhimath,Ukhimath,3,290,TRUE
14,35,Rudraprayag,,3,291,TRUE
15,34,Jakholi*,Jakholi*,3,292,TRUE
16,78,Ghansali,Ghansali,4,293,TRUE
17,77,Devprayag,Devprayag,4,294,TRUE
18,76,Pratapnagar,Pratapnagar,4,295,TRUE
19,75,Jakhani dhar*,Jakhani dhar*,4,296,TRUE
20,74,Tehri   ,Tehri   ,4,297,TRUE
21,73,Dhanaulti*,,4,298,TRUE
22,72,Narendra Nagar,Narendra Nagar,4,299,TRUE
23,71,Chakrata ,Chakrata ,5,0,FALSE
24,70,Tyuni*,Tyuni*,5,301,TRUE
25,69,Kalsi*,,5,,FALSE
26,68,Vikas Nagar,Vikas Nagar,5,,FALSE
27,67,Dehradun ,,5,5948,TRUE
28,66,Rishikesh,,5,305,TRUE
29,65,Srinagar,Srinagar,6,306,TRUE
30,64,Pauri,Pauri,6,307,TRUE
31,33,Thailisain,Thailisain,6,308,TRUE
32,32,Dhoomakot,Dhoomakot,6,309,TRUE
33,31,Lansdowne,Lansdowne,6,310,TRUE
34,30,Satpuli*,Satpuli*,6,311,TRUE
35,29,Chaubatta khal*,Chaubatta khal*,6,312,TRUE
36,28,Kotdwara,,6,313,TRUE
37,27,Yamkeshwar*,,6,314,TRUE
38,26,Munsiari,Munsiari,7,315,TRUE
39,24,Dharchula,Dharchula,7,316,TRUE
40,25,Didihat,Didihat,7,317,TRUE
41,23,Berinag*,Berinag*,7,318,TRUE
42,63,Gangolihat,Gangolihat,7,319,TRUE
43,62,Pithoragarh,,7,320,TRUE
44,61,Kapkot,Kapkot,8,321,TRUE
45,60,Kanda*,Kanda*,8,322,TRUE
46,59,Bageswar,,8,323,TRUE
47,58,Garud*,,8,324,TRUE
48,57,Bhikiasain,Bhikiasain,9,325,TRUE
49,56,Chaukhutiya*,Chaukhutiya*,9,326,TRUE
50,55,Sult*,Sult*,9,327,TRUE
51,54,Ranikhet,Ranikhet,9,328,TRUE
52,53,Dwarahat*,,9,329,TRUE
53,52,Almora,,9,330,TRUE
54,51,Someshwar*,Someshwar*,9,331,TRUE
55,22,Jainti*,Jainti*,9,332,TRUE
56,21,Bhanoli*,Bhanoli*,9,333,TRUE
57,20,Champawat,Champawat,10,334,TRUE
58,19,Pati*,Pati*,10,,FALSE
59,18,Lohaghat*,Lohaghat*,10,336,TRUE
60,17,Poornagiri*,Poornagiri*,10,,FALSE
61,16,Kosya Kutauli,Kosya Kutauli,11,338,TRUE
62,15,Betalghat*,Betalghat*,11,339,TRUE
63,14,Nainital,Nainital,11,340,TRUE
64,13,Dhari,Dhari,11,341,TRUE
65,12,Haldwani,,11,342,TRUE
66,11,Ramnagar*,Ramnagar*,11,343,TRUE
67,10,Kaladhungi*,,11,344,TRUE
68,8,Lalkuan*,Lalkuan*,11,345,TRUE
69,9,Kashipur,Kashipur,12,346,TRUE
70,7,Jaspur*,Jaspur*,12,347,TRUE
71,6,Bajpur*,Bajpur*,12,348,TRUE
72,5,Kichha,Kichha,12,349,TRUE
73,4,Gadarpur*,,12,350,TRUE
74,3,Sitarganj,Sitarganj,12,351,TRUE
75,2,Khatima,,12,352,TRUE
76,1,Roorkee,Roorkee,13,353,TRUE
77,50,Hardwar,Hardwar,13,354,TRUE
78,49,Laksar,,13,355,TRUE
